locus_tag,old_locus_tag,mist_product,mist_ranks,mist_dna_binding_domains,mist_input_domains,mist_output_domains,mist_signal_gene_id,mist_gene_id,genome_version,genome_name,taxonomy_id,selection,retrieved_at_utc
PA0032,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460400,1069048,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1399,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460212,1070441,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1403,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460211,1070445,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1413,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460210,1070455,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1422,,protein GbuR,ocp,HTH_1,LysR_substrate,HTH_1,32460209,1070464,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1430,,transcriptional regulator LasR,ocp,GerE,Autoind_bind,GerE,32460207,1070472,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1437,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460205,1070479,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1455,,flagellar biosynthesis sigma factor FliA,ocp,Sigma70_r2|Sigma70_r3|Sigma70_r4,,Sigma70_r2|Sigma70_r3|Sigma70_r4,32460203,1070497,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1467,,hypothetical protein,ocp,HTH_11,WYL,HTH_11,32460259,1070509,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1484,,transcriptional regulator,ocp,GerE,,GerE,32460199,1070527,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1490,,transcriptional regulator,ocp,HTH_DeoR,DeoRC,HTH_DeoR,32460198,1070533,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1504,,transcriptional regulator,ocp,TetR_N,TetR_C_3,TetR_N,32460197,1070547,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1520,,transcriptional regulator,ocp,GntR,FCD,GntR,32460196,1070563,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1526,,transcriptional regulator,ocp,GntR,FCD,GntR,32460195,1070569,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1539,,hypothetical protein,ocp,TetR_N,,TetR_N,32460194,1070583,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1544,,transcriptional regulator Anr,ocp,Crp,cNMP_binding,Crp,32460193,1070588,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1570,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460191,1070615,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1599,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460159,1070645,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1603,,transcriptional regulator,ocp,MarR,,MarR,32460158,1070649,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1607,,hypothetical protein,ocp,HxlR,,HxlR,32460157,1070653,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1619,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460154,1070665,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1627,,transcriptional regulator,ocp,GntR,FCD,GntR,32460153,1070673,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1630,,transcriptional regulator,ocp,HTH_IclR,IclR,HTH_IclR,32460152,1070676,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1637,,two-component response regulator KdpE,tcp|rr,Trans_reg_C,,Trans_reg_C,32460150,1070683,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1653,,transcriptional regulator,ocp,MarR_2,,MarR_2,32460148,1070700,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1663,,transcriptional regulator,ocp,HTH_8,,HTH_8,32460147,1070710,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1713,,exoenzyme S transcriptional regulator ExsA,ocp,HTH_18,,HTH_18,32460225,1070760,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1738,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460223,1070785,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1754,,transcriptional regulator CysB,ocp,HTH_1,LysR_substrate,HTH_1,32460221,1070801,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1759,,transcriptional regulator,ocp,GerE,,GerE,32460220,1070806,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1760,,transcriptional regulator,ocp,GerE,,GerE,32460219,1070807,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1776,,RNA polymerase sigma factor SigX,ecf,Sigma70_r2|Sigma70_r4,,Sigma70_r2|Sigma70_r4,32460144,1070823,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1799,,two-component response regulator ParR,tcp|rr,Trans_reg_C,,Trans_reg_C,32460139,1070852,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1826,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460138,1070880,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1836,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460137,1070890,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1850,,transcriptional regulator,ocp,HTH_18,DJ-1_PfpI,HTH_18,32460136,1070905,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1853,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460134,1070908,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1859,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460133,1070914,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1864,,transcriptional regulator,ocp,TetR_N,TetR_C_3,TetR_N,32460107,1070919,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1879,,hypothetical protein,ocp,HTH_31,,HTH_31,32460106,1070935,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1884,,transcriptional regulator,ocp,HTH_3,,HTH_3,32460105,1070940,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1898,,quorum-sensing control repressor,ocp,GerE,Autoind_bind,GerE,32460104,1070954,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1912,,ECF sigma factor FemI,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460103,1070968,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1915,,hypothetical protein,ocp,HTH_30,PucR,HTH_30,32460102,1070971,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1945,,transcriptional regulator,ocp,HTH_8,,HTH_8,32460100,1070999,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1949,,ribose operon repressor RbsR,ocp,LacI,Peripla_BP_3,LacI,32460098,1071003,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1961,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460097,1071015,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1978,,glycerol metabolism activator,tcp|rr,GerE,,GerE,32460188,1071032,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1980,,response regulator EraR,tcp|rr,GerE,,GerE,32460186,1071034,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1998,,transcriptional regulator DhcR,ocp,HTH_1,LysR_substrate,HTH_1,32460184,1071052,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2005,,transcriptional regulator,ocp,HTH_8,PAS,HTH_8,32460183,1071059,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2010,,transcriptional regulator,ocp,HTH_IclR,IclR,HTH_IclR,32460182,1071064,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2016,,liu genes regulator,ocp,MerR_1,,MerR_1,32460181,1071070,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2020,,transcriptional regulator,ocp,TetR_N,TetR_C_2,TetR_N,32460180,1071074,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2028,,transcriptional regulator,ocp,HTH_24,AsnC_trans_reg,HTH_24,32460179,1071082,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2029,,hypothetical protein,ocp,HTH_43,,HTH_43,32460178,1071083,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2032,,transcriptional regulator,ocp,GntR,Aminotran_1_2,GntR,32460177,1071086,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2047,,transcriptional regulator,ocp,HTH_18,AraC_N,HTH_18,32460176,1071101,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2050,,RNA polymerase sigma factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460175,1071104,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2054,,DNA-binding transcriptional regulator CynR,ocp,HTH_1,LysR_substrate,HTH_1,32460174,1071108,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2056,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460173,1071110,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2076,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460171,1071130,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2082,,transcriptional regulator,ocp,HTH_24,AsnC_trans_reg,HTH_24,32460170,1071136,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2093,,RNA polymerase sigma factor,ecf,Sigma70_r2|Sigma70_r4,,Sigma70_r2|Sigma70_r4,32460169,1071147,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2096,,transcriptional regulator,ocp,HTH_18,Arabinose_bd,HTH_18,32460168,1071150,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2100,,transcriptional regulator,ocp,GntR,Aminotran_1_2,GntR,32460167,1071154,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2115,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460166,1071169,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2118,,O6-methylguanine-DNA methyltransferase,ocp,HTH_18,Ada_Zn_binding,HTH_18,32460165,1071172,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2121,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460164,1071176,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2123,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460163,1071178,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2196,,transcriptional regulator,ocp,TetR_N,TetR_C_13,TetR_N,32460096,1071252,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2206,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460094,1071262,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2220,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460093,1071276,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2227,,HTH-type transcriptional regulator VqsM,ocp,HTH_18,Arabinose_bd,HTH_18,32460092,1071283,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2246,,Bkd operon transcriptional regulator BkdR,ocp,HTH_24,AsnC_trans_reg,HTH_24,32460091,1071301,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2258,,HTH-type transcriptional regulator PtxR,ocp,HTH_1,LysR_substrate,HTH_1,32460090,1071313,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2259,,transcriptional regulator PtxS,ocp,LacI,Peripla_BP_1,LacI,32460089,1071314,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2267,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460088,1071322,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2270,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460087,1071325,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2273,,redox-sensitive transcriptional activator SoxR,ocp,MerR|MerR-DNA-bind,,MerR|MerR-DNA-bind,32460086,1071328,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2276,,transcriptional regulator,ocp,HTH_18,AraC_N,HTH_18,32460085,1071331,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2277,,ArsR family transcriptional regulator,ocp,HTH_5,,HTH_5,32460084,1071332,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2281,,transcriptional regulator,ocp,HTH_18,,HTH_18,32460083,1071336,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2299,,transcriptional regulator,ocp,GntR,UTRA,GntR,32460082,1071354,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2312,,transcriptional regulator,ocp,HTH_3,Cupin_2,HTH_3,32460080,1071367,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2316,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460079,1071371,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2320,,GntR family transcriptional regulator,ocp,LacI,Peripla_BP_3,LacI,32460078,1071375,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2332,,transcriptional regulator,ocp,HTH_18,Cupin_6,HTH_18,32460077,1071387,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2334,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460076,1071389,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2337,,transcriptional regulator MtlR,ocp,HTH_18,,HTH_18,32460075,1071392,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2376,,transcriptional regulator,tcp|rr,GerE,,GerE,32460072,1071430,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2383,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460071,1071437,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2387,,RNA polymerase sigma factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460070,1071441,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2417,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460132,1071470,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2426,,extracytoplasmic-function sigma-70 factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460131,1071479,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2432,,bistable expression regulator BexR,ocp,HTH_1,LysR_substrate,HTH_1,32460130,1071485,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2447,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460129,1071500,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2468,,ECF sigma factor FoxI,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460127,1071519,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2469,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460126,1071520,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2479,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460125,1071530,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2484,,hypothetical protein,ocp,TetR_N,,TetR_N,32460123,1071535,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2488,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460122,1071539,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2489,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460121,1071540,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2492,,transcriptional regulator MexT,ocp,HTH_1,LysR_substrate,HTH_1,32460120,1071543,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2497,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460119,1071548,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2510,,transcriptional regulator CatR,ocp,HTH_1,LysR_substrate,HTH_1,32460117,1071561,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2511,,transcriptional regulator,ocp,HTH_18,AraC_binding_2,HTH_18,32460116,1071562,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2519,,transcriptional regulator XylS,ocp,HTH_18,AraC_binding_2,HTH_18,32460115,1071570,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2523,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460114,1071574,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2534,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460112,1071585,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2547,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460111,1071598,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2551,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460110,1071602,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2556,,transcriptional regulator,ocp,HTH_18,Arabinose_bd,HTH_18,32460109,1071607,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2577,,transcriptional regulator,ocp,HTH_24,AsnC_trans_reg,HTH_24,32460065,1071630,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2586,,response regulator GacA,tcp|rr,GerE,,GerE,32460063,1071641,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2588,,transcriptional regulator,ocp,HTH_18,Arabinose_bd,HTH_18,32460062,1071643,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2591,,transcriptional regulator,ecf,GerE,,GerE,32460061,1071646,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2601,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460060,1071656,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2657,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460055,1071713,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2665,,anaerobic nitric oxide reductase transcriptional regulator,ocp,HTH_8,GAF,HTH_8,32460054,1071721,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2681,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460049,1071737,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2686,,two-component response regulator PfeR,tcp|rr,Trans_reg_C,,Trans_reg_C,32460048,1071742,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2692,,transcriptional regulator,ocp,Rrf2,,Rrf2,32460046,1071748,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2696,,transcriptional regulator,ocp,HTH_18,,HTH_18,32460045,1071752,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2704,,transcriptional regulator,ocp,HTH_18,Arabinose_bd,HTH_18,32460044,1071760,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2713,,hypothetical protein,ocp,HxlR,,HxlR,32460043,1071769,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2718,,transcriptional regulator,ocp,MerR_1,,MerR_1,32460042,1071774,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA2736,,hypothetical protein,ocp,MarR,,MarR,32460041,1071790,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
